pde,model,beta,grid_size,adaptive,epoch,phase,total,ic,bc,l2,w_pde,w_ic,w_bc
0.004811964929103851,MLP,30,,False,100,adam,0.43587371706962585,0.4072280824184418,0.023833652958273888,1.1469790935516357,1.0,1.0,1.0
0.05490504577755928,MLP,30,,False,200,adam,0.18333399295806885,0.086251400411129,0.04217753931879997,0.946554958820343,1.0,1.0,1.0
0.004304285626858473,MLP,30,,False,300,adam,0.08411651849746704,0.02585269697010517,0.05395953357219696,0.932468056678772,1.0,1.0,1.0
0.004079422447830439,MLP,30,,False,400,adam,0.0717267096042633,0.014081803150475025,0.053565483540296555,0.9210643172264099,1.0,1.0,1.0
0.0022146704141050577,MLP,30,,False,500,adam,0.061543554067611694,0.009995825588703156,0.049333058297634125,0.9061659574508667,1.0,1.0,1.0
0.003393003949895501,MLP,30,,False,600,adam,0.054809585213661194,0.0074704354628920555,0.043946146965026855,0.8883821964263916,1.0,1.0,1.0
0.0023680650629103184,MLP,30,,False,700,adam,0.047454170882701874,0.005619406700134277,0.039466697722673416,0.8685281276702881,1.0,1.0,1.0
0.002496620872989297,MLP,30,,False,800,adam,0.04229108244180679,0.004531942307949066,0.03526252135634422,0.8468576073646545,1.0,1.0,1.0
0.0014902863185852766,MLP,30,,False,900,adam,0.045223087072372437,0.01046285592019558,0.03326994553208351,0.8239060044288635,1.0,1.0,1.0
0.002033505355939269,MLP,30,,False,1000,adam,0.03652620688080788,0.0032414000015705824,0.03125130012631416,0.8155103325843811,1.0,1.0,1.0
0.003318191971629858,MLP,30,,False,1100,adam,0.03791823238134384,0.004163635894656181,0.030436404049396515,0.8109976053237915,1.0,1.0,1.0
0.0028965831734240055,MLP,30,,False,1200,adam,0.03600802645087242,0.0029358789324760437,0.03017556481063366,0.812405526638031,1.0,1.0,1.0
0.005792991258203983,MLP,30,,False,1300,adam,0.03895457461476326,0.0032829882111400366,0.02987859398126602,0.8120924830436707,1.0,1.0,1.0
0.002184502314776182,MLP,30,,False,1400,adam,0.03570276126265526,0.0038803296629339457,0.029637929052114487,0.8065387010574341,1.0,1.0,1.0
0.0025325242895632982,MLP,30,,False,1500,adam,0.03548198193311691,0.003495176322758198,0.02945428341627121,0.799136757850647,1.0,1.0,1.0
0.0015124346828088164,MLP,30,,False,1600,adam,0.033058010041713715,0.0024251132272183895,0.029120460152626038,0.8003724813461304,1.0,1.0,1.0
0.0014914983185008168,MLP,30,,False,1700,adam,0.03256532549858093,0.002319680992513895,0.02875414490699768,0.7964863181114197,1.0,1.0,1.0
0.001504284911789,MLP,30,,False,1800,adam,0.03214438259601593,0.002207212382927537,0.028432883322238922,0.7922459244728088,1.0,1.0,1.0
0.002027463400736451,MLP,30,,False,1900,adam,0.033653624355793,0.0035211641807109118,0.02810499630868435,0.7881296277046204,1.0,1.0,1.0
0.0013295694952830672,MLP,30,,False,2000,adam,0.031319815665483475,0.0020615484099835157,0.02792869694530964,0.7845637202262878,1.0,1.0,1.0
0.001067179488018155,MLP,30,,False,2100,adam,0.030669745057821274,0.002032060641795397,0.027570504695177078,0.7809776067733765,1.0,1.0,1.0
0.0010650758631527424,MLP,30,,False,2200,adam,0.030056020244956017,0.001982910092920065,0.02700803428888321,0.7768543362617493,1.0,1.0,1.0
0.0010500506032258272,MLP,30,,False,2300,adam,0.02939644083380699,0.0019251508638262749,0.026421239599585533,0.7717493772506714,1.0,1.0,1.0
0.0010292667429894209,MLP,30,,False,2400,adam,0.02865767292678356,0.0018587587401270866,0.02576964721083641,0.7653524875640869,1.0,1.0,1.0
0.0010053361766040325,MLP,30,,False,2500,adam,0.027827132493257523,0.0017795372987166047,0.025042260065674782,0.7572111487388611,1.0,1.0,1.0
0.0009754166821949184,MLP,30,,False,2600,adam,0.026979856193065643,0.001689196447841823,0.02431524358689785,0.7471688985824585,1.0,1.0,1.0
0.0009471434750594199,MLP,30,,False,2700,adam,0.02627120353281498,0.0015967387007549405,0.02372732199728489,0.7363234162330627,1.0,1.0,1.0
0.0009275238844566047,MLP,30,,False,2800,adam,0.025726385414600372,0.0015147574013099074,0.023284103721380234,0.7264127135276794,1.0,1.0,1.0
0.0009139914182014763,MLP,30,,False,2900,adam,0.025277134031057358,0.0014469437301158905,0.022916199639439583,0.7181590795516968,1.0,1.0,1.0
0.0009031278896145523,MLP,30,,False,3000,adam,0.024875180795788765,0.001392062520608306,0.022579990327358246,0.7114981412887573,1.0,1.0,1.0
0.0008949024486355484,MLP,30,,False,3100,adam,0.024502107873558998,0.0013484269147738814,0.022258779034018517,0.706077516078949,1.0,1.0,1.0
0.0008890010067261755,MLP,30,,False,3200,adam,0.024152925238013268,0.0013129308354109526,0.021950993686914444,0.7014352679252625,1.0,1.0,1.0
0.0008834332111291587,MLP,30,,False,3300,adam,0.023817582055926323,0.001283096382394433,0.021651051938533783,0.697270393371582,1.0,1.0,1.0
0.0008774726884439588,MLP,30,,False,3400,adam,0.02347211353480816,0.001258126925677061,0.021336514502763748,0.6933425068855286,1.0,1.0,1.0
0.0008700324688106775,MLP,30,,False,3500,adam,0.02309730276465416,0.0012361934641376138,0.02099107764661312,0.6890667080879211,1.0,1.0,1.0
0.0008583300514146686,MLP,30,,False,3600,adam,0.022702012211084366,0.001212764997035265,0.020630916580557823,0.6837299466133118,1.0,1.0,1.0
0.0008396017365157604,MLP,30,,False,3700,adam,0.022313877940177917,0.0011850097216665745,0.020289266481995583,0.6769830584526062,1.0,1.0,1.0
0.000808859069366008,MLP,30,,False,3800,adam,0.021987654268741608,0.0011531682685017586,0.020025627687573433,0.6692818999290466,1.0,1.0,1.0
0.0007749712676741183,MLP,30,,False,3900,adam,0.02174496278166771,0.0011216365965083241,0.019848354160785675,0.6620672941207886,1.0,1.0,1.0
0.0007536598131991923,MLP,30,,False,4000,adam,0.02156662382185459,0.0010979106882587075,0.01971505396068096,0.6564521193504333,1.0,1.0,1.0
0.0007468429976142943,MLP,30,,False,4100,adam,0.021421104669570923,0.001081193215213716,0.019593067467212677,0.6522705554962158,1.0,1.0,1.0
0.0007478371844626963,MLP,30,,False,4200,adam,0.021300222724676132,0.001065319636836648,0.019487066194415092,0.6489163041114807,1.0,1.0,1.0
