model,depth,width,grid_size,best_l2,n_params,train_time_s
MLP,3,32,,0.7368122339248657,2241,153.1
MLP,3,64,,0.17316533625125885,8577,216.0
MLP,4,64,,0.1238345354795456,12737,246.3
MLP,4,128,,0.15759843587875366,50049,370.4
MLP,5,128,,0.01402815617620945,66561,435.1
MLP,6,128,,0.006858462933450937,83073,506.1
KINN,3,5,5.0,0.7926993370056152,400,634.5
KINN,3,5,10.0,0.8848046064376831,600,366.6
KINN,3,5,20.0,0.8920303583145142,1000,1258.9
KINN,3,5,50.0,0.8823285698890686,2200,3394.9
KINN,4,5,5.0,0.7051635384559631,650,955.1
KINN,4,5,10.0,0.7537112236022949,975,1096.6
KINN,3,10,10.0,0.7658826112747192,1950,1438.1
KINN,3,10,20.0,0.9115588665008545,3250,1416.3
