pde,model,n,grid_size,adaptive,epoch,phase,total,ic,bc,l2,w_pde,w_ic,w_bc
74741.0,MLP,8,,False,2400,adam,74884.2890625,0.0,143.2904510498047,18.228248596191406,1.0,1.0,1.0
70994.453125,MLP,8,,False,2500,adam,71142.2109375,0.0,147.76144409179688,18.431339263916016,1.0,1.0,1.0
67350.984375,MLP,8,,False,2600,adam,67502.46875,0.0,151.48056030273438,18.58729362487793,1.0,1.0,1.0
63673.34375,MLP,8,,False,2700,adam,63827.96875,0.0,154.6245574951172,18.747188568115234,1.0,1.0,1.0
60163.234375,MLP,8,,False,2800,adam,60321.2265625,0.0,157.99119567871094,18.916824340820312,1.0,1.0,1.0
56821.984375,MLP,8,,False,2900,adam,56983.890625,0.0,161.90682983398438,19.081878662109375,1.0,1.0,1.0
53702.7578125,MLP,8,,False,3000,adam,53868.5234375,0.0,165.76641845703125,19.24599266052246,1.0,1.0,1.0
50437.6015625,MLP,8,,False,3100,adam,50606.87890625,0.0,169.27870178222656,19.412275314331055,1.0,1.0,1.0
46121.32421875,MLP,8,,False,3200,adam,46294.265625,0.0,172.94143676757812,19.580440521240234,1.0,1.0,1.0
42603.84375,MLP,8,,False,3300,adam,42779.3203125,0.0,175.47640991210938,19.747373580932617,1.0,1.0,1.0
38532.484375,MLP,8,,False,3400,adam,38714.7421875,0.0,182.25733947753906,20.176279067993164,1.0,1.0,1.0
34568.7109375,MLP,8,,False,3500,adam,34758.2578125,0.0,189.54681396484375,20.59246253967285,1.0,1.0,1.0
30959.435546875,MLP,8,,False,3600,adam,31152.833984375,0.0,193.39805603027344,20.76947784423828,1.0,1.0,1.0
27433.689453125,MLP,8,,False,3700,adam,27629.236328125,0.0,195.54637145996094,20.83230209350586,1.0,1.0,1.0
24520.263671875,MLP,8,,False,3800,adam,24716.19140625,0.0,195.92845153808594,20.758615493774414,1.0,1.0,1.0
21712.962890625,MLP,8,,False,3900,adam,21909.896484375,0.0,196.93373107910156,20.733102798461914,1.0,1.0,1.0
18838.525390625,MLP,8,,False,4000,adam,19038.19921875,0.0,199.67286682128906,20.824848175048828,1.0,1.0,1.0
16241.7939453125,MLP,8,,False,4100,adam,16444.85546875,0.0,203.06179809570312,20.994739532470703,1.0,1.0,1.0
14460.35546875,MLP,8,,False,4200,adam,14665.119140625,0.0,204.7640838623047,21.063411712646484,1.0,1.0,1.0
13024.5869140625,MLP,8,,False,4300,adam,13230.1533203125,0.0,205.56610107421875,21.079862594604492,1.0,1.0,1.0
11882.2666015625,MLP,8,,False,4400,adam,12088.2255859375,0.0,205.9591522216797,21.065616607666016,1.0,1.0,1.0
10932.1123046875,MLP,8,,False,4500,adam,11138.11328125,0.0,206.00091552734375,21.03555679321289,1.0,1.0,1.0
10026.8837890625,MLP,8,,False,4600,adam,10231.9755859375,0.0,205.09205627441406,20.959041595458984,1.0,1.0,1.0
9346.646484375,MLP,8,,False,4700,adam,9550.5556640625,0.0,203.90963745117188,20.87457275390625,1.0,1.0,1.0
8738.0322265625,MLP,8,,False,4800,adam,8940.4375,0.0,202.40560913085938,20.784467697143555,1.0,1.0,1.0
8191.98046875,MLP,8,,False,4900,adam,8392.9833984375,0.0,201.00282287597656,20.696779251098633,1.0,1.0,1.0
7708.49658203125,MLP,8,,False,5000,adam,7908.38330078125,0.0,199.88662719726562,20.628704071044922,1.0,1.0,1.0
7284.4287109375,MLP,8,,False,5100,adam,7483.3759765625,0.0,198.94732666015625,20.567888259887695,1.0,1.0,1.0
398674.28125,MLP,8,,False,10000,lbfgs,398696.15625,0.0,21.88350486755371,11.388934135437012,1.0,1.0,1.0
144589.765625,MLP,8,,False,10010,lbfgs,144708.578125,0.0,118.81307220458984,19.34139633178711,1.0,1.0,1.0
78811.359375,MLP,8,,False,10020,lbfgs,78935.375,0.0,124.01600646972656,19.630977630615234,1.0,1.0,1.0
38766.37890625,MLP,8,,False,10030,lbfgs,38870.375,0.0,103.9974136352539,15.989400863647461,1.0,1.0,1.0
6515.11279296875,MLP,8,,False,10040,lbfgs,6633.81884765625,0.0,118.70592498779297,15.335695266723633,1.0,1.0,1.0
868.8681640625,MLP,8,,False,10050,lbfgs,971.5877685546875,0.0,102.7195816040039,13.942645072937012,1.0,1.0,1.0
307.0575866699219,MLP,8,,False,10060,lbfgs,375.5990905761719,0.0,68.54150390625,10.973315238952637,1.0,1.0,1.0
141.92539978027344,MLP,8,,False,10070,lbfgs,180.28945922851562,0.0,38.36406707763672,7.135795593261719,1.0,1.0,1.0
87.71839904785156,MLP,8,,False,10080,lbfgs,111.67427062988281,0.0,23.955873489379883,5.462801456451416,1.0,1.0,1.0
61.31867980957031,MLP,8,,False,10090,lbfgs,75.74686431884766,0.0,14.428182601928711,4.4184088706970215,1.0,1.0,1.0
44.75952911376953,MLP,8,,False,10100,lbfgs,53.85627365112305,0.0,9.096744537353516,3.0989058017730713,1.0,1.0,1.0
33.89020919799805,MLP,8,,False,10110,lbfgs,40.07215881347656,0.0,6.181948184967041,2.3161890506744385,1.0,1.0,1.0
25.999353408813477,MLP,8,,False,10120,lbfgs,30.465883255004883,0.0,4.466529369354248,1.904964566230774,1.0,1.0,1.0
21.044063568115234,MLP,8,,False,10130,lbfgs,24.35591697692871,0.0,3.3118526935577393,1.5866552591323853,1.0,1.0,1.0
17.51736831665039,MLP,8,,False,10140,lbfgs,20.06386947631836,0.0,2.546502113342285,1.3820459842681885,1.0,1.0,1.0
14.951372146606445,MLP,8,,False,10150,lbfgs,16.883554458618164,0.0,1.9321821928024292,1.1904302835464478,1.0,1.0,1.0
12.688704490661621,MLP,8,,False,10160,lbfgs,14.235325813293457,0.0,1.5466210842132568,1.014817237854004,1.0,1.0,1.0
10.964189529418945,MLP,8,,False,10170,lbfgs,12.193853378295898,0.0,1.229663610458374,0.8737975358963013,1.0,1.0,1.0
9.626544952392578,MLP,8,,False,10180,lbfgs,10.58799934387207,0.0,0.9614546895027161,0.7798150777816772,1.0,1.0,1.0
8.528082847595215,MLP,8,,False,10190,lbfgs,9.248116493225098,0.0,0.7200338244438171,0.6354440450668335,1.0,1.0,1.0
400998.375,MLP,8,,True,100,adam,401012.6875,0.0,6.300765037536621,3.4107701778411865,1.0,1.0,2.269813566770145
386462.59375,MLP,8,,True,200,adam,386569.125,0.0,8.846848487854004,6.066740989685059,1.0,1.0,12.04283221009313
