model,depth,width,grid_size,best_l2,n_params,train_time_s
MLP,3,32,,0.008319384418427944,2241,114.1
MLP,3,64,,0.0021217348985373974,8577,161.8
MLP,4,64,,0.002329628448933363,12737,218.7
MLP,4,128,,0.005116802174597979,50049,320.6
MLP,5,128,,0.07132876664400101,66561,189.9
MLP,6,128,,0.0031441946048289537,83073,373.9
KINN,3,5,5.0,0.028093690052628517,400,722.8
KINN,3,5,10.0,0.6417871117591858,600,811.9
KINN,3,5,20.0,0.6903368234634399,1000,1261.3
KINN,3,5,50.0,0.12956036627292633,2200,3375.8
KINN,4,5,5.0,0.023391904309391975,650,954.3
KINN,4,5,10.0,0.006063457578420639,975,1106.5
KINN,3,10,10.0,0.02961316704750061,1950,1442.8
KINN,3,10,20.0,0.04764820635318756,3250,2775.5
